Evolution optimization 'diffrot full p50 s25 y171' started
Gen 0 best: [BPL: 1.868648, BPH: 342.585528, L2: 10.644948, +BP: 0.588916, +HANN: 0.398785, WSIZE: 223.008759, INTERP: 0.545335] (Obj: 0.058494)
Gen 1 best: [BPL: 1.868648, BPH: 342.585528, L2: 10.644948, +BP: 0.588916, +HANN: 0.398785, WSIZE: 223.008759, INTERP: 0.545335] (Obj: 0.058494)
Gen 2 best: [BPL: -0.106815, BPH: -97.230445, L2: 9.928507, +BP: 0.264071, +HANN: -0.529484, WSIZE: 294.446486, INTERP: -0.602915] (Obj: 0.041513)
Gen 3 best: [BPL: -0.106815, BPH: -97.230445, L2: 9.928507, +BP: 0.264071, +HANN: -0.529484, WSIZE: 294.446486, INTERP: -0.602915] (Obj: 0.041513)
Gen 4 best: [BPL: -2.093013, BPH: 456.700568, L2: 8.814252, +BP: 0.640699, +HANN: -0.674467, WSIZE: 318.397163, INTERP: -0.429279] (Obj: 0.017573)
Gen 5 best: [BPL: -2.093013, BPH: 456.700568, L2: 8.814252, +BP: 0.640699, +HANN: -0.674467, WSIZE: 318.397163, INTERP: -0.429279] (Obj: 0.017573)
Gen 6 best: [BPL: -2.093013, BPH: 456.700568, L2: 8.814252, +BP: 0.640699, +HANN: -0.674467, WSIZE: 318.397163, INTERP: -0.429279] (Obj: 0.017573)
Gen 7 best: [BPL: -2.093013, BPH: 456.700568, L2: 8.814252, +BP: 0.640699, +HANN: -0.674467, WSIZE: 318.397163, INTERP: -0.429279] (Obj: 0.017573)
Gen 8 best: [BPL: -2.093013, BPH: 456.700568, L2: 8.814252, +BP: 0.640699, +HANN: -0.674467, WSIZE: 318.397163, INTERP: -0.429279] (Obj: 0.017573)
Gen 9 best: [BPL: -2.093013, BPH: 456.700568, L2: 8.814252, +BP: 0.640699, +HANN: -0.674467, WSIZE: 318.397163, INTERP: -0.429279] (Obj: 0.017573)
Gen 10 best: [BPL: -2.093013, BPH: 456.700568, L2: 8.814252, +BP: 0.640699, +HANN: -0.674467, WSIZE: 318.397163, INTERP: -0.429279] (Obj: 0.017573)
