frame,total,word,phoneme,model,wb,nosym
0,0,0,0,0,0,0,
1,2,0,0,1,0,1,
2,255,3,68,56,2,126,
3,495,0,107,14,1,373,
4,460,0,77,170,1,212,
5,619,0,100,186,2,331,
6,1903,1,125,1361,2,414,
7,1686,1,133,1094,3,455,
8,2337,1,126,1778,2,430,
9,1481,1,120,949,2,409,
10,1768,1,119,1239,2,407,
11,619,1,120,90,2,406,
12,1323,1,122,786,2,412,
13,978,1,127,427,2,421,
14,684,1,127,128,2,426,
15,2299,2,131,1721,2,443,
16,1589,6,164,886,3,530,
17,2060,11,283,1079,5,682,
18,2773,27,312,1633,8,793,
19,3774,26,483,1738,14,1513,
20,6729,103,834,2929,19,2844,
21,10633,225,1267,4608,37,4496,
22,11763,111,904,7203,26,3519,
23,5539,44,577,2650,17,2251,
24,3320,27,381,1331,13,1568,
25,2530,58,378,828,13,1253,
26,2274,57,382,680,12,1143,
27,3576,173,645,810,17,1931,
28,4054,164,671,956,18,2245,
29,5008,209,810,1502,21,2466,
30,6737,299,964,2290,23,3161,
31,10801,519,1327,4775,24,4156,
32,14513,500,1632,6878,34,5469,
33,12952,360,1408,5716,32,5436,
34,10757,176,892,5817,28,3844,
35,7533,151,724,3729,23,2906,
36,5489,256,812,1306,23,3092,
37,5657,213,745,1823,22,2854,
38,7245,320,786,2745,24,3370,
39,8594,345,878,3693,24,3654,
40,8276,151,602,4685,21,2817,
41,6608,15,335,4640,13,1605,
42,1107,17,109,392,9,580,
43,1075,39,127,78,10,821,
44,2082,70,297,517,10,1188,
45,2321,63,333,412,11,1502,
46,2480,44,295,680,9,1452,
47,1294,36,180,134,3,941,
48,2161,39,136,1116,3,867,
49,1571,53,276,94,6,1142,
50,2583,118,337,691,10,1427,
51,6124,98,429,3762,11,1824,
52,6903,405,1075,2127,20,3276,
53,11672,635,1561,4810,31,4635,
54,15638,597,1725,7482,41,5793,
55,11712,228,1133,6148,28,4175,
56,7318,263,1067,2358,19,3611,
57,6428,210,835,1918,16,3449,
58,5378,118,574,2476,16,2194,
59,5214,64,336,3586,11,1217,
60,2839,94,315,1249,13,1168,
61,4390,159,570,1779,13,1869,
62,6279,177,582,3370,15,2135,
63,5251,195,384,3164,10,1498,
64,6090,349,738,2508,10,2485,
65,10977,598,1423,4039,15,4902,
66,6362,175,580,3156,10,2441,
67,3321,106,392,1698,10,1115,
68,1500,81,221,552,10,636,
69,2485,141,461,587,10,1286,
70,2139,55,387,625,8,1064,
71,2424,24,370,824,7,1199,
72,4625,143,734,1349,14,2385,
73,6510,260,949,1909,16,3376,
74,5931,171,776,2050,16,2918,
75,4132,132,575,1449,13,1963,
76,3260,142,511,1019,12,1576,
77,3539,192,564,891,12,1880,
78,3413,56,395,1339,11,1612,
79,6673,115,753,2966,13,2826,
80,12214,459,1349,5329,21,5056,
81,14683,683,1428,6095,27,6450,
82,12618,789,1473,3999,25,6332,
83,14457,1050,1607,5549,25,6226,
84,12898,665,1369,5634,21,5209,
85,8766,222,890,4143,14,3497,
86,7141,220,850,2746,14,3311,
87,7263,233,744,2981,14,3291,
88,5222,107,544,2263,12,2296,
89,3844,24,423,1682,12,1703,
90,3071,21,374,1215,12,1449,
91,2975,54,336,961,12,1612,
92,2864,107,358,721,12,1666,
93,3699,161,476,1077,11,1974,
94,4372,168,587,1439,13,2165,
95,5677,150,508,2189,14,2816,
96,6836,326,647,2628,15,3220,
97,9708,363,814,5288,14,3229,
98,10192,459,1126,4570,17,4020,
99,13946,529,1422,7143,22,4830,
100,13800,433,1376,6734,28,5229,
101,12951,450,1375,5912,28,5186,
102,11498,505,1357,4489,35,5112,
103,9566,286,1006,3996,34,4244,
104,3659,69,454,616,18,2502,
105,1490,23,121,628,9,709,
106,1260,22,121,611,2,504,
107,2369,81,329,1131,7,821,
108,4264,189,619,1693,16,1747,
109,5110,271,866,1560,18,2395,
110,8523,374,1472,2846,25,3806,
111,9207,294,1257,3406,21,4229,
112,6188,95,732,3052,12,2297,
113,2015,67,428,290,10,1220,
114,2081,98,403,361,12,1207,
115,2470,84,499,770,13,1104,
116,3222,68,540,1268,14,1332,
117,3148,16,360,1719,13,1040,
118,2517,12,346,1003,12,1144,
119,3965,57,520,1514,14,1860,
120,5057,96,575,1846,14,2526,
121,5943,26,412,3646,12,1847,
122,3448,12,318,2066,11,1041,
123,898,15,112,339,8,424,
124,1911,34,247,613,10,1007,
125,2033,60,312,386,10,1265,
126,3838,170,515,1040,12,2101,
127,5448,169,541,2361,12,2365,
128,6616,258,819,2506,14,3019,
129,9194,230,784,4994,15,3171,
130,7859,245,920,3181,16,3497,
131,6022,90,475,3488,14,1955,
132,4004,113,388,1868,17,1618,
133,2469,148,381,483,14,1443,
134,3901,149,573,1533,14,1632,
135,6514,291,946,2543,24,2710,
136,10958,343,1462,4992,29,4132,
137,9566,244,1175,4073,23,4051,
138,9823,204,1175,4064,25,4355,
139,13125,469,1432,5656,31,5537,
140,12736,371,1053,7022,25,4265,
141,8982,555,1311,2793,26,4297,
142,13983,972,1891,5788,34,5298,
143,20353,1138,2228,9645,46,7296,
144,20190,494,1691,11660,43,6302,
145,16519,373,1219,10077,30,4820,
146,13956,496,1339,6828,35,5258,
147,18118,745,1637,9248,37,6451,
148,20744,442,1441,13068,34,5759,
149,16151,334,997,10148,22,4650,
150,12748,191,713,8454,18,3372,
151,4288,80,492,1172,11,2533,
152,3550,84,350,1023,10,2083,
153,2077,75,152,606,10,1234,
154,1871,75,108,616,3,1069,
155,1279,75,108,33,2,1061,
156,1718,75,114,421,2,1106,
157,1431,80,126,33,3,1189,
158,1643,75,128,271,3,1166,
159,3584,75,118,2284,2,1105,
160,2239,75,118,915,2,1129,
161,1757,76,123,366,3,1189,
162,1907,76,131,468,4,1228,
163,3077,78,131,1624,4,1240,
164,2294,75,130,859,4,1226,
165,1605,75,123,227,3,1177,
166,1766,75,121,439,2,1129,
167,1426,75,118,104,3,1126,
168,2072,76,121,721,3,1151,
169,3261,78,138,1779,4,1262,
170,2369,168,302,254,7,1638,
171,3917,141,394,1325,12,2045,
172,9463,506,1019,3815,20,4103,
173,13968,465,1139,7153,26,5185,
174,11299,45,478,8236,13,2527,
175,4171,62,434,1572,11,2092,
176,4754,147,512,1444,14,2637,
177,5409,197,426,1933,14,2839,
178,5662,128,303,3587,13,1631,
179,4546,259,561,1782,15,1929,
180,4048,246,446,2178,16,1162,
181,1876,48,52,1713,5,58,
182,422,24,60,180,5,153,
183,1151,44,203,381,5,518,
184,2898,60,384,1232,9,1213,
185,3077,103,434,813,10,1717,
186,3562,169,464,991,11,1927,
187,4125,113,477,1757,14,1764,
188,8522,542,1031,3527,19,3403,
189,5434,123,785,1532,21,2973,
190,1171,25,141,248,5,752,
191,914,39,179,175,7,514,
192,3108,121,633,683,12,1659,
193,5720,229,956,1468,16,3051,
194,5116,135,893,1352,22,2714,
195,3754,102,598,928,17,2109,
196,3900,121,630,998,16,2135,
197,4420,165,711,1296,15,2233,
198,7254,94,902,3744,16,2498,
199,3973,36,595,863,16,2463,
200,5059,128,750,1120,16,3045,
201,9185,363,1157,3873,16,3776,
202,9447,374,1310,3395,18,4350,
203,12995,405,1270,6305,17,4998,
204,11705,191,839,7061,14,3600,
205,5392,132,561,2536,11,2152,
206,3154,68,428,1365,10,1283,
207,3427,117,602,955,11,1742,
208,4633,207,797,1184,11,2434,
209,9722,313,938,5046,15,3410,
210,8648,399,1107,3199,18,3925,
211,14340,388,1374,7661,24,4893,
212,16927,689,1729,8143,39,6327,
213,18442,853,1879,8984,45,6681,
214,16337,758,1693,7529,37,6320,
215,8920,382,1065,2750,27,4696,
216,8839,374,995,2950,23,4497,
217,6069,271,648,1780,19,3351,
218,2452,57,390,456,16,1533,
219,5686,351,727,1561,23,3024,
220,10846,609,1359,4457,27,4394,
221,11645,521,1389,4821,30,4884,
222,15492,565,1432,8046,29,5420,
223,11029,197,812,6237,17,3766,
224,6321,202,767,2029,12,3311,
225,6744,341,911,1740,15,3737,
226,10304,480,1186,4007,18,4613,
227,9586,273,1157,3491,22,4643,
228,5929,127,711,1619,13,3459,
229,8028,235,1101,2801,18,3873,
230,11647,261,993,6184,19,4190,
231,6324,222,874,1758,17,3453,
232,4108,112,571,1381,12,2032,
233,3881,88,597,1681,13,1502,
234,4850,89,709,1887,15,2150,
235,8170,225,1110,2875,22,3938,
236,5922,172,837,1653,22,3238,
237,4088,148,595,1042,13,2290,
238,4865,185,597,1420,13,2650,
239,9730,712,1155,3918,17,3928,
240,15811,1075,1534,7760,21,5421,
241,12854,648,1145,6635,14,4412,
242,20787,1109,1701,11365,35,6577,
243,17626,284,855,12686,23,3778,
244,7513,310,728,3150,23,3302,
245,4008,139,387,1840,18,1624,
246,3769,74,374,2158,10,1153,
247,2747,61,291,1803,10,582,
248,1190,51,167,773,8,191,
249,721,61,168,296,8,188,
250,803,76,187,269,12,259,
251,1890,147,413,431,15,884,
252,4813,218,774,1407,16,2398,
253,5762,131,755,1694,18,3164,
254,8258,49,555,4974,17,2663,
255,4320,29,508,1528,15,2240,
256,3872,34,299,1791,13,1735,
257,1766,52,288,120,10,1296,
258,1391,35,276,79,6,995,
259,1170,30,120,364,2,654,
260,855,30,111,62,2,650,
261,1494,30,114,716,2,632,
262,874,31,119,26,2,696,
263,1147,32,129,230,3,753,
264,1621,30,122,774,2,693,
265,2021,30,116,1215,2,658,
266,893,30,113,100,2,648,
267,1641,30,118,815,2,676,
268,830,30,118,10,2,670,
269,697,30,101,25,1,540,
270,1038,30,93,360,2,553,
271,840,32,119,26,3,660,
