frame,total,word,phoneme,model,wb,nosym,inc,incword,incphn,incmodel,incother
0,1,1,0,0,0,0,0,0,0,0,0
1,2,0,0,1,0,1,0,0,0,0,0
2,113,0,16,64,4,29,4,0,2,0,2
3,49,0,7,34,2,6,4,0,2,0,2
4,24,0,2,18,2,2,4,0,2,0,2
5,53,0,7,32,3,11,4,0,2,0,2
6,64,0,8,38,3,15,4,0,2,0,2
7,101,0,14,61,3,23,4,0,2,0,2
8,151,7,27,69,7,41,4,0,2,0,2
9,152,5,25,69,8,45,6,0,2,1,3
10,255,24,32,85,9,105,7,0,2,2,3
11,218,13,29,91,9,76,6,0,2,1,3
12,244,21,32,86,7,98,4,0,2,0,2
13,206,11,29,80,6,80,4,0,2,0,2
14,165,9,19,82,5,50,6,0,2,1,3
15,260,26,38,90,10,96,4,0,2,0,2
16,436,34,50,178,13,161,6,0,3,0,3
17,760,33,138,348,24,217,48,0,36,0,12
18,2845,180,391,1262,25,987,20,0,11,0,9
19,1651,110,238,769,23,511,28,0,15,1,12
20,2014,171,353,865,17,608,15,0,11,0,4
21,2080,181,392,894,17,596,10,0,6,0,4
22,2486,237,604,910,20,715,18,0,12,1,5
23,3279,246,625,1361,38,1009,74,0,28,23,23
24,4904,376,814,2261,32,1421,41,0,15,9,17
25,1720,135,276,780,10,519,5,0,3,0,2
26,2079,189,334,1029,19,508,22,0,6,6,10
27,4336,403,619,2332,34,948,60,0,23,18,19
28,3123,193,460,1655,48,767,86,0,13,40,33
29,2639,148,367,1366,23,735,16,0,2,8,6
30,2407,162,342,1283,23,597,13,0,2,6,5
31,2106,140,280,1164,20,502,13,0,2,6,5
32,1509,123,203,801,18,364,11,0,2,4,5
33,1632,137,172,916,16,391,15,0,3,6,6
34,2035,156,161,1304,20,394,30,0,8,11,11
35,1997,200,165,1176,15,441,11,0,3,4,4
36,983,166,88,517,14,198,11,0,4,3,4
37,1867,299,251,951,21,345,24,0,13,3,8
38,5342,700,937,2628,34,1043,58,0,23,16,19
39,3195,317,578,1587,23,690,23,0,4,9,10
40,1283,134,263,613,14,259,2,0,0,2,0
41,1928,176,336,961,14,441,5,0,0,5,0
42,2465,298,353,1241,22,551,29,0,8,13,8
43,4508,383,569,2507,35,1014,61,0,11,30,20
44,4153,276,649,2227,51,950,104,0,22,45,37
45,2135,138,346,1069,28,554,33,0,4,15,14
46,2702,171,410,1412,30,679,30,0,4,12,14
47,3178,224,476,1703,29,746,32,0,4,14,14
48,4901,342,594,2789,37,1139,38,0,9,12,17
49,9884,707,855,6244,42,2036,56,0,17,20,19
50,19290,1429,1547,12338,79,3897,84,0,26,30,28
51,24023,1977,1706,15723,77,4540,24,0,6,8,10
52,20324,1827,1508,12834,69,4086,18,0,6,3,9
53,10274,497,551,7730,48,1448,40,0,22,4,14
54,9243,529,531,6723,54,1406,40,0,15,8,17
55,12729,1306,1140,7513,57,2713,29,0,13,3,13
56,7837,983,892,4181,44,1737,18,0,11,1,6
57,7840,1063,1035,4183,32,1527,10,0,8,0,2
58,10627,1227,1277,5959,36,2128,18,0,11,1,6
59,5628,521,739,3153,43,1172,53,0,22,10,21
60,2181,205,335,1078,42,521,78,0,31,17,30
61,1604,155,211,808,33,397,56,0,13,21,22
62,815,93,115,411,20,176,25,0,4,10,11
63,714,107,134,322,15,136,20,0,9,5,6
64,733,148,143,294,14,134,14,0,8,3,3
65,692,137,133,277,16,129,22,0,8,7,7
66,1142,171,164,495,19,293,20,0,9,5,6
67,1529,122,259,730,31,387,54,0,15,20,19
68,1220,95,204,525,24,372,40,0,12,16,12
