frame,total_tokens,word_tokens,phn_tokens,model_tokens,wb_tokens,nosym_tokens
0,0,0,0,0,0,0
1,2,0,0,1,0,1
2,199,1,14,56,2,126
3,175,0,3,14,2,156
4,165,0,3,18,2,142
5,198,0,8,31,3,156
6,230,1,12,46,4,167
7,298,1,13,104,5,175
8,528,1,9,347,4,167
9,722,1,9,544,4,164
10,1131,1,9,953,4,164
11,769,1,9,591,4,164
12,218,1,9,40,4,164
13,226,1,12,43,4,166
14,227,1,12,42,4,168
15,294,2,13,101,5,173
16,591,2,22,366,5,196
17,920,8,47,632,9,224
18,1730,22,67,1333,14,294
19,1691,23,90,641,21,916
20,4451,60,267,2214,32,1878
21,9077,151,514,4532,69,3811
22,6114,87,289,3337,60,2341
23,2466,37,101,1094,29,1205
24,1648,25,36,763,12,812
25,1678,48,85,792,16,737
26,1954,44,81,1111,11,707
27,4340,142,415,1365,37,2381
28,6226,106,301,2781,42,2996
29,6663,147,409,2764,44,3299
30,8102,386,577,3153,49,3937
31,9909,615,825,3742,48,4679
32,16485,1168,1121,7393,66,6737
33,16553,825,947,8940,52,5789
34,8443,375,519,3742,45,3762
35,4413,202,257,1674,37,2243
36,3800,186,232,1546,33,1803
37,3498,185,220,1300,28,1765
38,5114,168,215,2751,27,1953
39,3637,76,105,2399,23,1034
40,1443,22,26,916,14,465
41,692,4,13,452,5,218
42,143,10,3,6,3,121
43,240,19,11,6,6,198
44,539,45,55,9,16,414
45,735,46,62,38,23,566
46,572,28,50,14,19,461
47,376,22,25,6,11,312
48,382,23,31,6,11,311
49,470,33,37,6,15,379
50,778,75,79,28,22,574
51,1020,37,79,185,25,694
52,2957,104,236,803,31,1783
53,6658,314,499,2366,68,3411
54,6141,280,473,2308,68,3012
55,5018,166,311,2726,32,1783
56,3715,240,350,1104,29,1992
57,3827,196,318,1365,26,1922
58,2590,96,161,1178,20,1135
59,2064,63,71,1292,13,625
60,1033,81,42,325,12,573
61,2887,145,171,1674,19,878
62,3910,167,170,2444,17,1112
63,4192,178,185,2979,15,835
64,4980,318,390,2332,15,1925
65,9193,571,700,3938,21,3963
66,4386,162,220,2174,17,1813
67,2395,98,118,1437,15,727
68,1082,78,97,492,11,404
69,1504,117,122,471,15,779
70,1012,48,62,429,12,461
71,936,23,71,385,13,444
72,2264,105,177,751,43,1188
73,4852,256,424,1827,46,2299
74,5358,359,489,1672,35,2803
75,4080,195,280,1574,18,2013
76,2609,107,185,1138,16,1163
77,1683,89,105,565,11,913
78,1717,69,87,603,14,944
79,3834,172,261,1458,22,1921
80,7813,493,657,2925,35,3703
81,10449,469,675,5438,49,3818
82,7368,535,626,2462,35,3710
83,7340,531,596,2932,30,3251
84,5010,342,407,1999,38,2224
85,3264,153,165,1908,19,1019
86,2265,162,142,948,20,993
87,2424,138,108,1166,21,991
88,3197,67,81,2356,32,661
89,2474,16,46,1935,20,457
90,1111,19,31,614,14,433
91,892,46,65,193,18,570
92,1509,76,86,415,30,902
93,1999,144,115,412,30,1298
94,2418,202,119,675,51,1371
95,3184,203,100,1324,57,1500
96,7837,338,169,5002,63,2265
97,7184,394,210,4279,64,2237
98,8280,493,368,4659,59,2701
99,9837,546,638,5136,60,3457
100,10308,457,638,5192,61,3960
101,10555,479,641,5586,63,3786
102,8933,494,627,3906,65,3841
103,5215,289,347,1829,59,2691
104,1787,54,76,337,33,1287
105,570,14,16,81,12,447
106,797,41,63,118,19,556
107,2008,199,95,658,31,1025
108,2096,143,124,911,54,864
109,2979,181,182,2053,28,535
110,3869,305,439,1685,29,1411
111,3677,270,443,1123,33,1808
112,1845,101,185,578,22,959
113,915,75,142,256,13,429
114,2407,97,179,1509,13,609
115,1433,70,198,413,16,736
116,1323,34,114,381,14,780
117,1108,14,47,671,6,370
118,576,14,37,166,8,351
119,1356,49,115,380,17,795
120,2851,75,141,1283,19,1333
121,2119,27,64,1196,19,813
122,1653,13,19,1144,10,467
123,599,15,14,240,7,323
124,942,29,25,304,12,572
125,1081,54,63,220,19,725
126,2395,105,190,669,29,1402
127,3596,163,259,1172,39,1963
128,5346,184,289,2625,49,2199
129,5988,174,294,3102,51,2367
130,5311,194,346,2107,45,2619
131,4951,81,164,3447,31,1228
132,3072,72,83,2046,30,841
133,1494,59,17,613,22,783
134,1966,132,121,770,25,918
135,9191,432,891,4396,42,3430
136,13271,639,1386,5510,70,5666
137,12879,333,844,7136,56,4510
138,11986,423,902,5870,61,4730
139,11445,464,737,5922,55,4267
140,5427,280,402,2387,37,2321
141,8131,459,627,4523,41,2481
142,9200,567,916,4550,39,3128
143,15079,869,1392,6996,53,5769
144,16135,757,1338,7415,64,6561
145,14135,581,1098,6864,53,5539
146,13015,599,899,6312,50,5155
147,9520,444,702,4152,48,4174
148,9679,252,542,5626,39,3220
149,6045,173,321,2882,48,2621
150,3510,89,196,1234,25,1966
151,3684,37,67,2256,20,1304
152,2048,37,27,911,19,1054
153,1005,34,4,247,11,709
154,1961,34,3,1271,4,649
155,986,34,3,313,3,633
156,762,34,3,62,4,659
157,2046,37,6,1267,7,729
158,807,34,5,96,6,666
159,1788,34,3,1098,4,649
160,770,34,4,61,5,666
161,2089,35,6,1326,7,715
162,1034,35,6,274,7,712
163,2106,37,6,1331,7,725
164,836,34,6,88,7,701
165,1826,34,5,1094,6,687
166,1206,34,3,504,4,661
167,785,34,3,80,4,664
168,1953,35,3,1233,4,678
169,2070,36,6,1276,7,745
170,1172,70,55,61,14,972
171,2294,58,77,998,24,1137
172,5788,183,315,2662,34,2594
173,7999,307,516,2874,63,4239
174,5956,69,173,3947,36,1731
175,2798,61,189,1163,32,1353
176,4644,122,203,2285,47,1987
177,4681,162,201,2389,45,1884
178,3907,131,72,2668,29,1007
179,3208,235,266,1537,33,1137
180,3323,225,271,1828,23,976
181,1838,49,98,1565,12,114
182,631,35,53,373,11,159
183,888,47,68,335,10,428
184,1471,54,86,580,15,736
185,1874,61,88,790,23,912
186,5059,206,240,2482,34,2097
187,6285,244,217,3702,33,2089
188,8713,601,551,4174,61,3326
189,3284,106,166,1255,37,1720
190,1143,50,73,293,22,705
191,913,45,70,215,15,568
192,989,30,75,502,13,369
193,1455,56,53,652,18,676
194,1334,103,136,404,19,672
195,1823,125,152,668,21,857
196,1830,127,188,662,23,830
197,2919,124,398,1111,21,1265
198,9128,339,993,3759,40,3997
199,9767,238,856,3686,55,4932
200,10952,435,989,4196,43,5289
201,13325,375,896,7448,30,4576
202,10187,213,526,6306,23,3119
203,7024,188,349,3739,18,2730
204,4448,121,136,2604,14,1573
205,1833,81,63,1119,6,564
206,1377,45,151,699,11,471
207,2220,106,207,714,12,1181
208,2964,185,333,1216,14,1216
209,10729,267,367,7643,22,2430
210,7240,310,409,3482,25,3014
211,13508,610,1096,6573,58,5171
212,23311,977,1481,12761,86,8006
213,22012,922,1307,12053,84,7646
214,11243,629,764,4255,55,5540
215,7068,295,366,2762,38,3607
216,8882,611,539,3214,42,4476
217,13958,952,990,6816,41,5159
218,5346,156,380,3036,27,1747
219,4213,194,364,1326,32,2297
220,6755,355,551,2548,31,3270
221,6441,372,484,2450,31,3104
222,8075,480,581,3492,32,3490
223,5951,186,301,3324,21,2119
224,3810,200,269,1237,19,2085
225,4633,287,364,1454,21,2507
226,5906,432,498,1872,23,3081
227,6087,225,416,2240,29,3177
228,3949,98,267,1200,28,2356
229,5330,220,414,1882,39,2775
230,6173,238,329,3137,32,2437
231,3992,199,289,1774,28,1702
232,2374,101,154,1024,25,1070
233,1905,71,160,873,19,782
234,2187,69,193,791,16,1118
235,5429,193,369,2200,30,2637
236,3625,126,256,1684,27,1532
237,2454,85,179,1032,19,1139
238,3542,114,159,1737,25,1507
239,5120,422,336,1943,47,2372
240,9865,654,569,5214,72,3356
241,7765,400,302,4494,35,2534
242,8832,718,615,3601,65,3833
243,9714,177,216,7559,34,1728
244,5545,188,260,3413,35,1649
245,2011,77,125,948,18,843
246,2207,34,85,1708,7,373
247,1300,29,91,912,10,258
248,699,39,62,532,4,62
249,417,56,62,174,7,118
250,486,70,71,188,12,145
251,1015,127,131,246,28,483
252,2728,146,254,894,31,1403
253,3012,78,223,1002,54,1655
254,3852,38,100,2363,55,1296
255,2776,28,67,1646,39,996
256,1544,30,46,683,28,757
257,1860,45,48,1044,26,697
258,549,29,33,16,12,459
259,386,25,6,10,7,338
260,459,25,5,59,6,364
261,700,25,5,335,6,329
262,1350,26,7,920,7,390
263,922,27,6,483,7,399
264,489,25,5,79,6,374
265,399,25,5,9,6,354
266,458,25,5,72,6,350
267,1448,25,5,1039,6,373
268,1301,25,5,901,6,364
269,438,25,3,115,3,292
270,462,25,4,97,5,331
271,910,28,6,509,8,359
