frame,total_tokens,incomplphoneseq_tokens,completeuw_tokens
0,0,0,0,
1,2,0,0,
2,255,74,0,
3,451,99,0,
4,289,75,0,
5,432,89,0,
6,549,123,0,
7,593,131,0,
8,596,165,0,
9,1106,654,0,
10,1752,1095,0,
11,1068,210,0,
12,571,157,0,
13,1279,798,0,
14,1752,1089,0,
15,1030,228,0,
16,1802,1058,0,
17,975,263,0,
18,1148,327,0,
19,2375,752,0,
20,5110,1663,0,
21,8932,3070,0,
22,5488,1943,0,
23,5052,2637,0,
24,1856,539,0,
25,1946,661,0,
26,2444,932,0,
27,3659,1181,0,
28,6721,3316,0,
29,8006,4316,0,
30,6267,2762,0,
31,8965,4522,0,
32,13952,7730,0,
33,14774,8387,0,
34,12804,6707,0,
35,9300,4857,0,
36,6520,2685,0,
37,6111,2020,0,
38,6175,2149,0,
39,6847,3100,0,
40,4913,2532,0,
41,868,444,0,
42,840,645,0,
43,1190,720,0,
44,1247,307,0,
45,1763,531,0,
46,1652,449,0,
47,1226,498,0,
48,1148,515,0,
49,1351,500,0,
50,1974,867,0,
51,4004,1655,0,
52,6184,2662,0,
53,9172,4698,0,
54,11436,6256,0,
55,7334,3173,0,
56,5622,1542,0,
57,5343,1415,0,
58,4548,1599,0,
59,3871,1472,0,
60,1644,454,0,
61,3620,1329,0,
62,4709,1345,0,
63,4971,1398,0,
64,4626,580,0,
65,9473,1126,0,
66,6034,1004,0,
67,1763,305,0,
68,1242,249,0,
69,2217,664,0,
70,1883,768,0,
71,1998,756,0,
72,4564,1771,0,
73,5798,1941,0,
74,4016,1139,0,
75,2714,878,0,
76,3517,1364,0,
77,2863,1164,0,
78,2078,854,0,
79,1484,396,0,
80,3315,1445,0,
81,8656,5068,0,
82,8136,4263,0,
83,9402,4749,0,
84,7106,2825,0,
85,7788,3332,0,
86,7517,3109,0,
87,7537,2823,0,
88,8786,3580,0,
89,12100,6379,0,
90,7452,2426,0,
91,10369,4371,0,
92,9461,3709,0,
93,8005,3108,0,
94,8094,3384,0,
95,10252,4480,0,
96,15220,6718,0,
97,14496,5951,0,
98,16557,6018,0,
99,21240,7640,0,
100,16931,4982,0,
101,15012,4865,0,
102,10018,2943,0,
103,6756,1707,0,
104,2758,501,0,
105,1291,342,0,
106,756,141,0,
107,2150,782,0,
108,3479,2392,0,
109,1969,1404,0,
110,1730,1099,0,
111,1502,1040,0,
112,552,416,0,
113,388,366,0,
114,47,46,0,
115,32,32,0,
116,18,18,0,
117,8,8,0,
118,6,6,0,
119,5,5,0,
120,6,6,0,
121,6,6,0,
122,6,6,0,
123,6,6,0,
124,6,6,0,
125,6,6,0,
126,6,6,0,
127,7,7,0,
128,7,7,0,
129,7,7,0,
130,7,7,0,
131,7,7,0,
132,7,7,0,
133,7,7,0,
134,7,7,0,
135,7,7,0,
136,7,7,0,
137,7,7,0,
138,7,7,0,
139,7,7,0,
140,7,7,0,
141,7,7,0,
142,7,7,0,
143,7,7,0,
144,7,7,0,
145,6,6,0,
146,6,6,0,
147,6,6,0,
148,6,6,0,
149,6,6,0,
150,6,6,0,
151,6,6,0,
152,6,6,0,
153,6,6,0,
154,6,6,0,
155,6,6,0,
156,6,6,0,
157,6,6,0,
158,6,6,0,
159,6,6,0,
160,6,6,0,
161,6,6,0,
162,6,6,0,
163,6,6,0,
164,6,6,0,
165,6,6,0,
166,6,6,0,
167,6,6,0,
168,6,6,0,
169,6,6,0,
170,6,6,0,
171,7,7,0,
172,7,7,0,
173,6,6,0,
174,6,6,0,
175,6,6,0,
176,6,6,0,
177,6,6,0,
178,5,5,0,
179,6,6,0,
180,6,6,0,
181,6,6,0,
182,6,6,0,
183,6,6,0,
184,6,6,0,
185,7,7,0,
186,7,7,0,
187,7,7,0,
188,7,7,0,
189,7,7,0,
190,7,7,0,
191,7,7,0,
192,7,7,0,
193,7,7,0,
194,7,7,0,
195,7,7,0,
196,7,7,0,
197,7,7,0,
198,7,7,0,
199,7,7,0,
200,7,7,0,
201,7,7,0,
202,7,7,0,
203,7,7,0,
204,7,7,0,
205,7,7,0,
206,7,7,0,
207,7,7,0,
208,7,7,0,
209,7,7,0,
210,7,7,0,
211,7,7,0,
212,7,7,0,
213,7,7,0,
214,7,7,0,
215,7,7,0,
216,7,7,0,
217,7,7,0,
218,7,7,0,
219,7,7,0,
220,7,7,0,
221,7,7,0,
222,7,7,0,
223,7,7,0,
224,7,7,0,
225,7,7,0,
226,7,7,0,
227,7,7,0,
228,7,7,0,
229,7,7,0,
230,7,7,0,
231,7,7,0,
232,7,7,0,
233,7,7,0,
234,7,7,0,
235,7,7,0,
236,7,7,0,
237,7,7,0,
238,7,7,0,
239,7,7,0,
240,7,7,0,
241,7,7,0,
242,7,7,0,
243,7,7,0,
244,7,7,0,
245,7,7,0,
246,7,7,0,
247,7,7,0,
248,7,7,0,
249,7,7,0,
250,7,7,0,
251,7,7,0,
252,7,7,0,
253,7,7,0,
254,7,7,0,
255,7,7,0,
256,7,7,0,
257,7,7,0,
258,7,7,0,
259,7,7,0,
260,7,7,0,
261,7,7,0,
262,7,7,0,
263,7,7,0,
264,7,7,0,
265,7,7,0,
266,7,7,0,
267,7,7,0,
268,7,7,0,
269,7,7,0,
270,7,7,0,
271,7,7,0,
