frame,total_tokens,word_tokens,phn_tokens,model_tokens,wb_tokens,nosym_tokens
0,0,0,0,0,0,0
1,2,0,0,1,0,1
2,207,2,21,56,5,123
3,235,0,10,14,5,206
4,181,0,10,18,5,148
5,249,0,15,31,6,197
6,296,2,19,47,8,220
7,318,2,20,49,9,238
8,296,2,16,44,8,226
9,291,2,16,48,8,217
10,396,2,16,153,8,217
11,286,2,16,43,8,217
12,295,2,16,50,8,219
13,409,2,19,158,8,222
14,305,2,19,49,8,227
15,336,3,20,68,9,236
16,752,4,27,441,12,268
17,1025,10,56,586,18,355
18,717,25,75,179,22,416
19,2151,25,129,929,35,1033
20,3872,63,338,1297,68,2106
21,10744,154,604,5962,121,3903
22,6575,89,341,3579,104,2462
23,3099,38,151,1489,49,1372
24,2405,27,56,1326,26,970
25,2116,50,113,1086,27,840
26,1650,42,119,705,25,759
27,4760,162,492,1466,76,2564
28,7696,186,411,3892,89,3118
29,7689,260,527,3262,91,3549
30,9007,486,695,3456,102,4268
31,11583,732,919,4872,99,4961
32,14751,991,1044,6611,109,5996
33,14648,966,1010,6636,101,5935
34,10564,478,611,5323,76,4076
35,5288,239,334,2102,62,2551
36,4447,198,303,1776,59,2111
37,3493,200,300,886,54,2053
38,6475,174,312,3657,55,2277
39,2741,75,170,1089,49,1358
40,1898,24,61,1095,28,690
41,975,5,20,675,12,263
42,153,10,10,9,6,118
43,312,20,18,12,11,251
44,717,48,64,16,25,564
45,983,52,85,69,36,741
46,1034,32,79,232,32,659
47,1086,23,35,569,20,439
48,487,24,38,33,16,376
49,784,35,46,171,22,510
50,2253,80,104,1318,31,720
51,1481,38,103,454,42,844
52,5349,106,327,2711,70,2135
53,7670,313,601,2924,123,3709
54,6814,280,562,2554,124,3294
55,4735,164,368,2157,57,1989
56,4231,236,406,1281,60,2248
57,4144,191,368,1413,54,2118
58,2314,103,203,651,46,1311
59,3591,63,102,2622,43,761
60,1886,83,71,941,37,754
61,1919,147,182,491,40,1059
62,3252,168,189,1600,42,1253
63,5276,178,204,3962,25,907
64,6533,319,434,3710,30,2040
65,9968,575,770,4521,40,4062
66,5363,168,242,3024,33,1896
67,1830,101,133,770,26,800
68,1342,75,107,671,17,472
69,1699,122,151,509,29,888
70,1274,51,87,526,24,586
71,1116,23,101,357,27,608
72,3122,105,249,1127,80,1561
73,4999,250,512,1568,99,2570
74,5594,355,554,1652,81,2952
75,4292,195,319,1585,49,2144
76,2974,108,202,1383,26,1255
77,1745,89,124,536,20,976
78,1895,69,108,637,25,1056
79,4174,172,305,1577,38,2082
80,8292,496,731,3149,74,3842
81,10445,471,743,5210,73,3948
82,9297,541,688,4092,55,3921
83,7628,534,677,2955,52,3410
84,6712,353,483,3323,57,2496
85,3213,152,214,1563,32,1252
86,2441,165,197,780,39,1260
87,2740,141,158,1114,39,1288
88,3807,71,133,2552,49,1002
89,2821,18,97,1899,34,773
90,947,21,76,69,31,750
91,1213,48,109,146,37,873
92,1850,79,131,476,55,1109
93,2304,156,152,487,54,1455
94,3002,251,178,946,89,1538
95,4426,227,171,2167,96,1765
96,7770,341,234,4556,99,2540
97,6665,389,264,3492,101,2419
98,8522,484,435,4652,98,2853
99,10014,542,711,4976,101,3684
100,10897,457,711,5402,103,4224
101,10387,478,724,4957,107,4121
102,9129,495,701,3704,115,4114
103,6003,292,418,2059,105,3129
104,1999,55,96,348,53,1447
105,691,14,17,222,14,424
106,802,36,47,98,20,601
107,1723,155,72,482,26,988
108,2979,328,107,1234,61,1249
109,2337,263,186,1067,48,773
110,4218,499,425,1627,45,1622
111,4591,409,471,1718,46,1947
112,3519,145,224,2008,45,1097
113,1511,91,171,696,24,529
114,2032,104,210,951,27,740
115,2970,72,227,1850,30,791
116,3195,40,124,2245,24,762
117,1341,13,54,897,11,366
118,793,13,44,333,10,393
119,1377,49,130,351,27,820
120,2407,78,185,601,37,1506
121,4092,28,104,2836,34,1090
122,1743,13,54,1064,23,589
123,547,15,25,167,12,328
124,784,31,34,60,20,639
125,1116,57,84,70,28,877
126,2531,113,228,556,54,1580
127,4154,170,326,1366,79,2213
128,6979,188,369,3939,89,2394
129,7062,177,379,3802,95,2609
130,6590,195,433,2977,86,2899
131,5645,82,197,3875,55,1436
132,2300,84,108,993,47,1068
133,1790,70,43,601,38,1038
134,2596,181,176,748,64,1427
135,6120,303,524,2452,76,2765
136,6247,107,349,3923,71,1797
137,2755,96,246,855,63,1495
138,5246,163,266,2784,68,1965
139,4976,219,222,2630,59,1846
140,4064,256,165,2614,39,990
141,4231,376,200,2544,40,1071
142,5533,793,427,2475,42,1796
143,8628,911,707,4121,52,2837
144,7194,477,387,4196,46,2088
145,5406,327,307,3174,31,1567
146,4575,369,368,1808,36,1994
147,6905,505,456,3053,48,2843
148,6731,357,394,3405,51,2524
149,5680,362,331,2314,85,2588
150,5446,182,203,3043,45,1973
151,2308,68,79,714,33,1414
152,1781,38,43,504,31,1165
153,1221,31,11,440,16,723
154,701,31,10,18,7,635
155,770,31,10,105,6,618
156,706,31,10,12,7,646
157,799,35,13,17,10,724
158,802,31,12,88,9,662
159,2083,31,10,1400,7,635
160,716,31,11,12,8,654
161,785,32,13,17,10,713
162,983,32,13,209,12,717
163,1123,34,13,333,12,731
164,836,31,13,74,12,706
165,752,31,12,17,9,683
166,838,31,10,138,7,652
167,852,32,10,151,7,652
168,739,33,10,17,7,672
169,905,33,13,102,12,745
170,1653,69,64,427,22,1071
171,3307,60,99,1889,33,1226
172,5023,186,385,1680,73,2699
173,8362,307,610,2974,113,4358
174,5752,70,204,3603,61,1814
175,3131,60,206,1369,48,1448
176,4589,117,231,2073,64,2104
177,4964,159,228,2459,60,2058
178,4166,130,84,2810,37,1105
179,3991,233,276,2248,42,1192
180,2408,225,282,901,29,971
181,2018,53,61,1793,9,102
182,644,35,62,397,13,137
183,751,48,84,162,20,437
184,1286,55,100,248,30,853
185,2383,67,133,943,39,1201
186,5006,214,320,1970,74,2428
187,7010,254,247,4063,74,2372
188,8815,609,639,4189,100,3278
189,4183,125,227,1834,63,1934
190,1651,57,86,566,32,910
191,1075,55,84,210,18,708
192,1533,38,97,737,26,635
193,1930,63,102,738,36,991
194,1947,116,187,501,43,1100
195,2236,137,203,722,43,1131
196,2286,136,239,765,54,1092
197,2909,124,371,1003,45,1366
198,9536,470,1056,3969,85,3956
199,10131,267,929,4049,103,4783
200,11232,453,1067,4241,92,5379
201,10677,383,943,4608,62,4681
202,8905,207,535,4949,37,3177
203,6215,180,341,2888,39,2767
204,5363,120,156,3443,30,1614
205,2203,76,66,1392,15,654
206,1572,45,135,860,15,517
207,2215,99,216,807,20,1073
208,3341,182,385,1407,24,1343
209,5269,260,443,2017,43,2506
210,6870,301,516,2710,61,3282
211,13638,592,1186,6391,116,5353
212,22731,975,1568,11969,147,8072
213,21465,966,1398,11199,142,7760
214,13344,548,762,6402,95,5537
215,6861,303,439,2343,79,3697
216,6368,357,393,2021,77,3520
217,4630,236,204,1934,70,2186
218,1770,42,94,986,41,607
219,3348,289,293,884,62,1820
220,6833,500,514,2713,71,3035
221,7340,450,529,3132,83,3146
222,9230,528,614,4481,81,3526
223,7407,190,307,4603,47,2260
224,3161,168,293,588,42,2070
225,4046,279,349,927,44,2447
226,5483,416,476,1389,56,3146
227,5782,222,453,2082,67,2958
228,4203,99,289,1491,62,2262
229,5864,207,430,2530,73,2624
230,4525,221,370,1502,66,2366
231,4746,200,352,2197,57,1940
232,3209,101,181,1648,51,1228
233,2011,72,187,821,45,886
234,2560,69,231,937,38,1285
235,5894,191,434,2428,59,2782
236,3832,126,286,1655,43,1722
237,2684,85,190,1147,24,1238
238,3735,114,192,1799,36,1594
239,6159,425,407,2576,72,2679
240,9581,653,634,4579,110,3605
241,7880,403,375,4374,74,2654
242,12575,717,710,6968,110,4070
243,9526,177,259,7134,60,1896
244,5082,185,263,2808,53,1773
245,2244,78,134,1128,27,877
246,2313,33,77,1817,7,379
247,1122,25,89,767,9,232
248,345,39,60,189,4,53
249,430,54,68,174,11,123
250,460,69,59,181,14,137
251,1026,131,127,237,43,488
252,2897,152,277,900,57,1511
253,4339,82,264,1856,89,2048
254,2524,36,148,585,84,1671
255,1970,29,107,501,63,1270
256,1256,30,58,218,42,908
257,1933,47,71,934,36,845
258,771,31,52,39,23,626
259,455,25,13,13,11,393
260,477,24,12,15,9,417
261,523,24,12,92,9,386
262,505,26,14,10,11,444
263,520,27,13,12,13,455
264,492,25,12,15,10,430
265,661,25,12,208,10,406
266,462,25,12,15,10,400
267,564,25,12,95,10,422
268,483,25,12,19,10,417
269,678,25,10,302,7,334
270,613,25,11,209,9,359
271,460,27,12,8,11,402
